"","time","suvival_probability"
"1",1,0.85
"2",2,0.798795180722892
"3",3,0.689371183363591
"4",4,0.644166515602044
"5",5,0.563645701151789
"6",6,0.540639754166002
"7",7,0.47012152536174
"8",8,0.421903933016947
"9",9,0.385740738758351
"10",10,0.349577544499756
"11",11,0.312122807589068
"12",12,0.287152982981942
"13",13,0.273479031411374
"14",14,0.259805079840805
"15",15,0.232457176699668
"16",19,0.232457176699668
"17",22,0.217928603155938
"18",24,0.217928603155938
"19",30,0.202362274359086
"20",31,0.186795945562233
"21",32,0.17122961676538
"22",34,0.155663287968527
"23",35,0.140096959171675
"24",36,0.124530630374822
"25",43,0.108964301577969
"26",53,0.0933979727811164
"27",54,0.0778316439842637
"28",56,0.0778316439842637
"29",57,0.0583737329881978
"30",58,0.0389158219921318
"31",60,0.0389158219921318
